,Unnamed: 0,date,type,hnl,month
0,0,2022-01-01,Salas,828128430.5,1
1,1,2022-01-01,Agencias,108137118.71,1
2,2,2022-01-02,Salas,828128430.5,1
3,3,2022-01-02,Agencias,108137118.71,1
4,4,2022-01-03,Salas,832107740.8799999,1
5,5,2022-01-03,Agencias,108473545.13,1
6,6,2022-01-04,Salas,715666510.3799999,1
7,7,2022-01-04,Agencias,128926232.93,1
8,8,2022-01-05,Salas,698540237.3599999,1
9,9,2022-01-05,Agencias,100694661.77,1
10,10,2022-01-06,Salas,750499028.3600001,1
11,11,2022-01-06,Agencias,105516582.71000002,1
12,12,2022-01-07,Salas,666597362.7900001,1
13,13,2022-01-07,Agencias,110182637.93,1
14,14,2022-01-08,Salas,704357040.14,1
15,15,2022-01-08,Agencias,100136099.2,1
16,16,2022-01-09,Salas,764875632.9199998,1
17,17,2022-01-09,Agencias,96641392.85,1
18,18,2022-01-10,Salas,765981784.5799997,1
19,19,2022-01-10,Agencias,97088949.25,1
20,20,2022-01-11,Salas,641954444.3399996,1
21,21,2022-01-11,Agencias,114180734.96,1
22,22,2022-01-12,Salas,666095058.0500002,1
23,23,2022-01-12,Agencias,113483814.06,1
24,24,2022-01-13,Salas,683441294.7700002,1
25,25,2022-01-13,Agencias,101023201.81,1
26,26,2022-01-14,Salas,684267369.7300001,1
27,27,2022-01-14,Agencias,105120521.2,1
28,28,2022-01-15,Salas,651148034.9500003,1
29,29,2022-01-15,Agencias,100950197.50999998,1
30,30,2022-01-16,Salas,690186175.5200007,1
31,31,2022-01-16,Agencias,93567825.21,1
32,32,2022-01-17,Salas,689716849.1200005,1
33,33,2022-01-17,Agencias,93892220.56,1
34,34,2022-01-18,Salas,574895027.0699999,1
35,35,2022-01-18,Agencias,82550802.33999999,1
36,36,2022-01-19,Salas,682726864.6899998,1
37,37,2022-01-19,Agencias,108928203.2,1
38,38,2022-01-20,Salas,708045962.0899999,1
39,39,2022-01-20,Agencias,105778978.4,1
40,40,2022-01-21,Salas,702496253.4399999,1
41,41,2022-01-21,Agencias,104596091.05999996,1
42,42,2022-01-22,Salas,653371935.61,1
43,43,2022-01-22,Agencias,99899449.46000002,1
44,44,2022-01-23,Salas,686423006.3300002,1
45,45,2022-01-23,Agencias,87595836.19999996,1
46,46,2022-01-24,Salas,685932182.19,1
47,47,2022-01-24,Agencias,91234359.42999996,1
48,48,2022-01-25,Salas,603824587.9199998,1
49,49,2022-01-25,Agencias,101158391.6,1
50,50,2022-01-26,Salas,592725867.5999997,1
51,51,2022-01-26,Agencias,98885753.17,1
52,52,2022-01-27,Salas,968381246.2200004,1
53,53,2022-01-27,Agencias,101117623.02,1
54,54,2022-01-28,Salas,899644543.49,1
55,55,2022-01-28,Agencias,113613793.66000004,1
56,56,2022-01-29,Salas,836626930.9400004,1
57,57,2022-01-29,Agencias,103003991.32,1
58,58,2022-01-31,Salas,848159791.21,1
59,59,2022-01-31,Agencias,106281930.62000003,1
724,724,2023-01-01,Salas,1091418564.5099995,1
725,725,2023-01-01,Agencias,136934707.15,1
726,726,2023-01-02,Salas,1091418564.5099995,1
727,727,2023-01-02,Agencias,136934707.15,1
728,728,2023-01-03,Salas,1024958683.0799998,1
729,729,2023-01-03,Agencias,151432502.25999996,1
